Portfolio Category,Representative Product / Offering,Product Type,Primary Application,Energy / Controls Relevance,India Manufacturing / Presence,Mapped Market Category,Source Label,Source URL
Air handlers,Air Handling and Fan-Wall Units,Commercial airside equipment,Data centres and large commercial buildings,"EC fans, filtration options and factory-installed controls",Public Carrier India portfolio; AHUs manufactured at Gurugram facility,AHUs & FCUs,Carrier India data-centre solutions,https://www.carrier.com/commercial/en/in/data-centers/
Chillers / heat pumps,AquaEdge 19DV,Water-cooled centrifugal chiller,Data centres and large commercial buildings,"VFD and high-load efficiency positioning",Public Carrier India offering,Chillers,Carrier India commercial homepage,https://www.carrier.com/commercial/en/in/
Chillers / heat pumps,AquaEdge 19MV,Water-cooled centrifugal chiller,Data centres and large commercial buildings,"High-load and system-efficiency positioning",Public Carrier India offering,Chillers,Carrier India data-centre solutions,https://www.carrier.com/commercial/en/in/data-centers/
Chillers / heat pumps,Air- and water-cooled screw chillers,Applied chiller equipment,Commercial and industrial facilities,"Variable-speed and part-load optimisation potential",Manufactured at Carrier India's Gurugram facility,Chillers,About Carrier India,https://www.carrier.com/commercial/en/in/about/about-carrier-india/
Chillers / heat pumps,Air- and water-cooled reciprocating chillers,Applied chiller equipment,Commercial and industrial facilities,"Equipment and system-efficiency improvement potential",Manufactured at Carrier India's Gurugram facility,Chillers,About Carrier India,https://www.carrier.com/commercial/en/in/about/about-carrier-india/
Controls,Building controls and intelligent-building technologies,Controls and automation,Commercial buildings and campuses,"Monitoring, scheduling, optimisation and BMS integration",Public Carrier India portfolio,AHUs & FCUs,Carrier India commercial homepage,https://www.carrier.com/commercial/en/in/
Fan coils,Fan Coil Units,Hydronic terminal equipment,Hotels offices healthcare and residential,"Zone control and low-load operation",Manufactured at Carrier India's Gurugram facility,AHUs & FCUs,About Carrier India,https://www.carrier.com/commercial/en/in/about/about-carrier-india/
Cassette,Cassette air conditioners,Light-commercial indoor units,Offices retail hospitality and education,"Zonal cooling and inverter-system compatibility",Manufactured at Carrier India's Gurugram facility,Single & Multi Splits,About Carrier India,https://www.carrier.com/commercial/en/in/about/about-carrier-india/
Ducted,Carrier Inverter Ducted,Ducted split system,Light-commercial and commercial spaces,"Inverter operation and concealed air distribution",Public Carrier India offering,Single & Multi Splits,Carrier India commercial homepage,https://www.carrier.com/commercial/en/in/
Ducted,Ducted split systems,Ducted split system,Commercial buildings and hospitality,"Zonal control and distribution-system efficiency",Manufactured at Carrier India's Gurugram facility,Single & Multi Splits,About Carrier India,https://www.carrier.com/commercial/en/in/about/about-carrier-india/
VRF,Carrier VRF systems,Variable refrigerant flow system,Offices hotels retail and mixed-use buildings,"Zoning, part-load performance and controls integration",Public Carrier India portfolio,VRF Systems,Carrier India commercial homepage,https://www.carrier.com/commercial/en/in/
Packaged,Package units,Packaged commercial equipment,Retail industrial and commercial buildings,"Integrated packaged-system optimisation",Manufactured at Carrier India's Gurugram facility,Rooftop & Indoor Packaged,About Carrier India,https://www.carrier.com/commercial/en/in/about/about-carrier-india/
Room air conditioners,XCEED EDGE Gxi Wi-Fi 5 Star,Split inverter room AC,Residential,"5-star rating, inverter operation and smart connectivity",Public Carrier Midea India listing,Single & Multi Splits,Carrier Midea India room AC catalogue,https://carriermideaindia.com/product-category/carrier-room-air-conditioners/
Room air conditioners,XCEED LUMO Gxi Wi-Fi,Split inverter room AC,Residential,"Inverter operation, Wi-Fi and energy-management features",Public Carrier Midea India listing,Single & Multi Splits,Carrier Midea India room AC catalogue,https://carriermideaindia.com/product-category/carrier-room-air-conditioners/
Room air conditioners,Carrier window AC range,Window room AC,Residential,"Fixed-speed and inverter variants with BEE star ratings",Public Carrier Midea India listing,Windows & Portable AC,Carrier Midea India room AC catalogue,https://carriermideaindia.com/product-category/carrier-room-air-conditioners/
